Código,Epíca,Historia de Usuario,Criterio de Aceptación 1,Criterio de Aceptación 2,Criterio de Aceptación 3,Criterio de Aceptación 4,Criterio de Aceptación 5,Criterio de Aceptación 6,Criterio de Aceptación 7,Criterio de Aceptación 8,Criterio de Aceptación 9,Criterio de Aceptación 10,Criterio de Aceptación 11,Sprint,Estado
HU1,Cuenta y seguridad,"Como visitante quiero registrarme proporcionando nombre, correo, edad y contraseña para crear mi cuenta y agilizar futuros pedidos.","Dado que el usuario está en la página principal (GET /) y ve el enlace <NavLink to=""/registro"">Registrarse</NavLink>
Cuando hace clic en ese enlace (onClick en <NavLink>)
Entonces el cliente emite GET /registro, muestra el spinner <Loader /> y renderiza el formulario <form id=""registrationForm""> con campos name, email, birthDate, password y botón “Registrar”.","Dado que el formulario #registrationForm está cargado y visible
Cuando el usuario deja en blanco cualquiera de los campos name, email, birthDate o password y hace clic en “Registrar”
Entonces el cliente detiene el envío, aplica validación inline y muestra <span class=""error"">Campo requerido</span> junto a cada campo vacío.","Dado que el campo #email existe en el formulario y el usuario ingresa un valor que no coincide con la expresión regular de email
Cuando ocurre el evento onBlur o intenta enviar el formulario
Entonces el cliente muestra <span class=""error"">Formato de correo inválido</span> y bloquea la petición al servidor.","Dado que el campo #birthDate permite seleccionar fecha y el usuario ingresa una fecha que indica < 18 años
Cuando el formulario valida la edad en el evento onSubmit
Entonces se muestra <span class=""error"">Debes ser mayor de 18 años</span> y no se invoca la API.","Dado que el campo #password está configurado con requisitos mínimos (8 caracteres, al menos una letra mayúscula y un número)
Cuando el usuario ingresa una contraseña que no cumple estos requisitos y hace submit
Entonces el cliente muestra <span class=""error"">La contraseña debe tener ≥ 8 caracteres, 1 mayúscula y 1 número</span> y bloquea el envío.","Dado que el usuario ha completado todos los campos con datos válidos
Cuando hace clic en “Registrar” (POST /api/users con payload { name, email, birthDate, password })
Entonces la API responde HTTP 201, el cliente muestra toast “Cuenta creada con éxito”, guarda el JWT retornado en localStorage y redirige a /mi-cuenta.","Dado que el usuario ingresa un email ya existente en la base de datos
Cuando el cliente envía POST /api/users con ese email
Entonces la API devuelve HTTP 409 y la interfaz muestra <span class=""error"">El correo ya está en uso</span> junto al campo #email.","Dado que ocurre un error interno en el servidor (500) al procesar el registro
Cuando la petición POST /api/users retorna HTTP 500
Entonces la UI muestra un banner rojo “Error del servidor. Inténtalo más tarde.” y registra el error en consola (logger.error).","Dado que el usuario hace clic en “Registrar” y la petición supera el timeout configurado (p. ej. 10 s) o falla la conexión
Cuando el cliente captura un timeout o fetch lanza excepción de red
Entonces muestra “No se pudo conectar. Verifica tu red e inténtalo de nuevo.” y habilita el botón “Registrar” para reintentar.",,,1,Do 
HU2,Cuenta y seguridad,Como usuario registrado quiero iniciar sesión con mi correo y contraseña para acceder a mi cuenta y consultar mi historial de pedidos.,"Dado que he navegado a GET /login y la aplicación ha retornado HTTP 200
Cuando la UI renderiza <form id=""loginForm""> con campos email, password y el botón “Iniciar sesión”
Entonces el formulario aparece con los campos vacíos y el botón habilitado","Dado que el formulario #loginForm está disponible
Cuando el usuario hace clic en “Iniciar sesión” sin completar email o password
Entonces el cliente bloquea el envío y muestra mensajes inline “Campo requerido” junto a cada campo vacío","Dado que el campo #email existe en el formulario
Cuando el usuario ingresa un valor que no coincide con la expresión regular de email y mueve el foco fuera del campo (onBlur)
Entonces el cliente muestra inline “Formato de correo inválido” y deshabilita el botón “Iniciar sesión”","Dado que ambos campos (email, password) contienen valores válidos
Cuando el usuario clica “Iniciar sesión” y el cliente envía POST /api/auth/login con { email, password }
Entonces se muestra un spinner en el botón y la petición se emite al servidor","Dado que la API responde HTTP 200 con payload { token: JWT, user: { id, name, email } }
Cuando el cliente recibe la respuesta
Entonces almacena el JWT en localStorage, redirige automáticamente a /mi-cuenta y muestra un toast “Bienvenido {user.name}”","Dado que la API responde HTTP 401 con { error: ""InvalidCredentials"" }
Cuando el cliente procesa la respuesta
Entonces muestra el mensaje “Correo o contraseña incorrectos” bajo el formulario y mantiene el formulario habilitado","Dado que la API responde HTTP 500 o superior
Cuando el cliente detecta el código de error
Entonces muestra un banner rojo “Error del servidor. Inténtalo más tarde.” y registra el error en logger.error","Dado que la petición supera el timeout configurado (p. ej. 10 s) o hay fallo de red
Cuando fetch lanza una excepción de red o timeout
Entonces muestra “No se pudo conectar. Verifica tu conexión e inténtalo de nuevo.” y habilita nuevamente el botón “Iniciar sesión”",,,,1,Do 
HU3,Cuenta y seguridad,Como visitante registrándome quiero que el sistema valide que tengo ≥ 18 años para garantizar el cumplimiento de la normativa legal.,"Dado que el formulario de registro (#registrationForm) está cargado en GET /registro
Cuando el usuario ingresa una fecha de nacimiento que resulte en edad ≥ 18 años y pierde el foco del campo (onBlur en #birthDate)
Entonces el cliente no muestra ningún mensaje de error inline y mantiene habilitado el botón “Registrar”","Dado que el formulario de registro está visible y el usuario introduce una fecha que indica edad < 18 años
Cuando el usuario pierde el foco de #birthDate
Entonces el cliente muestra inline el mensaje “Debes ser mayor de 18 años” junto al campo y deshabilita el botón “Registrar”","Dado que el usuario pulsa “Registrar” con birthDate que indica < 18 años y otros campos válidos
Cuando ocurre el evento submit en #registrationForm
Entonces el cliente bloquea la petición al servidor y mantiene visible el mensaje “Debes ser mayor de 18 años”","Dado que el cliente envía POST /api/users con un payload JSON donde birthDate indica < 18 años
Cuando el servidor procesa la solicitud
Entonces la API responde HTTP 400 con { error: ""Underage"" } y la UI muestra “No cumples con la edad mínima requerida” en la parte superior del formulario.",,,,,,,,1,Do 
HU4,Comunicación y soporte,"Como cliente quiero contactar a la empresa mediante formulario, WhatsApp y chatbot para elegir el canal que prefiera y resolver mis dudas.","Dado que el usuario ha cargado la página principal (GET /) y ve el elemento <NavLink to=""/contacto"">Contacto</NavLink>

Cuando hace clic en ese enlace (onClick en el componente <NavLink>)   

Entonces el cliente emite GET /api/contact-info, muestra <Loader /> y cambia la URL a /contacto, desplegando el formulario, el botón WhatsApp y el control de Chatbot oculto.","Dado que el formulario #contactForm en /contacto está renderizado con campos name, email, message           

Cuando completo name: ""Juan"", email: ""juan@ejemplo.com"", message: ""Consulta..."" y clico “Enviar” (POST /api/contact)   

Entonces la API responde HTTP 200 y la UI muestra un toast “¡Mensaje enviado con éxito!” y limpia los campos del formulario.","Dado que el formulario #contactForm está visible en /contacto      

Cuando clico “Enviar” sin rellenar email o message            Entonces el cliente detiene el submit, muestra errores inline junto a cada campo vacío (<span class=""error"">Campo requerido</span>) y no invoca la API.","Dado que el usuario completa campos válidos y envía el formulario           

Cuando la petición POST /api/contact retorna HTTP 500

Entonces la UI muestra un banner rojo “Error al enviar. Inténtalo más tarde.” y registra el error en logger.error.","Dado que /contacto renderiza <a id=""whatsappLink"" href=""whatsapp://send?phone=+57..."">WhatsApp</a>           Cuando clico el elemento #whatsappLink   

Entonces el dispositivo intenta abrir la aplicación WhatsApp con chat preconfigurado al número de Juangel Maniquíes.","Dado que el enlace whatsapp://... no abre la app (error de esquema URI)    Cuando el cliente detecta el fallo de protocolo (evento onError)           

Entonces redirige al usuario a la versión web de WhatsApp WhatsApp Web ... en una nueva pestaña.","Dado que en /contacto el componente <Chatbot /> está montado con visible = false            Cuando hago clic en el botón “Chatbot” (onClick en <button id=""openChatbot"">)  

Entonces el componente cambia a visible = true, renderiza el input de usuario y mantiene la misma ruta sin recarga.","Dado que <Chatbot /> está visible y conectado al endpoint WebSocket wss://.../chat            Cuando ingreso “¿Cuáles son sus horarios?” y presiono Enter

Entonces el cliente envía { message } vía WebSocket, espera respuesta, y muestra el reply en < 2 s dentro del chat.","Dado que <Chatbot /> está visible y el servidor de chat retorna un error o cierra la conexión

Cuando el cliente detecta socket.onerror o socket.onclose

Entonces la UI muestra “Error de chat. Inténtalo de nuevo.” dentro del área de chat y registra el fallo en consola.",,,5,Do 
HU5,Gestión de pedidos,Como cliente quiero ver mis pedidos actuales y pasados desde mi cuenta para hacer seguimiento de mis compras.,"Dado que he iniciado sesión con un JWT válido y navego a GET /mis-pedidos
Cuando la UI dispara GET /api/orders?userId={miId}
Entonces la API responde HTTP 200 con un array de pedidos y el cliente renderiza una tabla con columnas orderId, date, status y total.","Dado que la respuesta de GET /api/orders?userId={miId} es un array vacío ([])
Cuando la función renderOrders([]) se ejecuta
Entonces la UI muestra el texto “Aún no has realizado compras.” en lugar de la tabla.}","Dado que la tabla de pedidos está renderizada y contiene la fila para orderId=123
Cuando hago clic en la fila o en el botón “Ver detalle” (onClick en <button data-order=""123"">)
Entonces el cliente emite GET /api/orders/123, cambia la URL a /pedido/123 y renderiza la vista de detalles con información completa.","Dado que la petición GET /api/orders?userId={miId} retorna HTTP 500
Cuando el cliente captura la respuesta de error
Entonces la UI muestra un banner rojo “Error al cargar tus pedidos. Inténtalo de nuevo más tarde.” y registra el error en logger.error.","Dado que la petición a /api/orders?userId={miId} excede el tiempo de espera (p. ej. 10 s) o lanza excepción de red
Cuando ocurre el timeout o la excepción
Entonces la UI muestra “No se pudo conectar. Verifica tu conexión e inténtalo de nuevo.” y habilita el botón “Reintentar”.",,,,,,,1,Do 
HU6,Facturación y pagos ,Como cliente quiero descargar mis facturas electrónicas desde mi cuenta para conservar registros para mi contabilidad.,"Dado que he iniciado sesión correctamente con un JWT válido y navego a /mi-cuenta/facturas
Cuando la UI realiza una solicitud GET /api/invoices?userId={id}
Entonces el backend responde con HTTP 200 y una lista de facturas asociadas al usuario, que se renderizan con fecha, número, monto total y un botón “Descargar PDF” por cada una","Dado que estoy en la sección “Mis facturas” y se ha cargado correctamente la lista de facturas
Cuando hago clic en el botón “Descargar PDF” de la factura con invoiceId=456
Entonces la UI realiza una solicitud GET /api/invoices/456/download
Y si la factura existe y pertenece al usuario, el backend responde con HTTP 200 y un archivo PDF descargable con nombre factura-456.pdf","Dado que he accedido a /mi-cuenta/facturas con sesión activa
Cuando el backend responde a GET /api/invoices?userId={id} con un array vacío
Entonces la UI muestra el mensaje “No se encontraron facturas registradas” en lugar de la tabla","Dado que el usuario intenta descargar una factura con invoiceId=789
Cuando el backend detecta que la factura no pertenece al userId autenticado
Entonces responde con HTTP 403 Forbidden y la UI muestra un toast “No tienes permiso para acceder a esta factura”","Dado que intento descargar una factura desde el botón “Descargar PDF”
Cuando el backend recibe GET /api/invoices/999/download y no encuentra la factura
Entonces responde con HTTP 404 Not Found y la UI muestra el mensaje “Factura no encontrada o eliminada”","Dado que intento descargar una factura válida
Cuando el backend encuentra un error interno al generar o servir el archivo
Entonces responde con HTTP 500 y la UI muestra un mensaje de error “No se pudo completar la descarga. Intenta más tarde”","Dado que un usuario descarga exitosamente una factura
Cuando la API responde con HTTP 200 al endpoint /invoices/{id}/download
Entonces se registra en la base de datos una entrada en la tabla invoice_downloads con { userId, invoiceId, timestamp }",,,,,2,Do 
HU7,Cuenta y seguridad,Como usuario autenticado quiero editar o eliminar mi información personal y mi cuenta para mantener mis datos actualizados o borrarlos si lo deseo.,"Dado que he iniciado sesión con un JWT válido y navego a GET /mi-cuenta
Cuando la UI realiza GET /api/users/{id}
Entonces recibo HTTP 200 y el cliente renderiza el formulario #profileForm con campos name, email, birthDate deshabilitados y el botón “Editar perfil” habilitado","Dado que el formulario está en modo lectura y veo el botón “Editar perfil”
Cuando hago clic en “Editar perfil” (onClick en <button id=""editProfile"">)
Entonces el componente activa los campos name, email, birthDate, muestra los botones “Guardar cambios” y “Cancelar” y asigna formMode = ""edit""","Dado que estoy en modo edición y he modificado el campo email
Cuando pierdo el foco de #email (onBlur)
Entonces si el valor no coincide con la regex de email, el cliente muestra inline “Formato de correo inválido” y deshabilita “Guardar cambios”","Dado que estoy en modo edición y he modificado al menos uno de los campos (name, email, birthDate) con datos válidos
Cuando hago clic en “Guardar cambios” (PATCH /api/users/{id} con payload JSON)
Entonces la API responde HTTP 200, el cliente muestra toast “Perfil actualizado con éxito”, actualiza los campos en pantalla y vuelve a modo lectura","Dado que envío un PATCH /api/users/{id} con un email que ya existe en la DB
Cuando la API retorna HTTP 409
Entonces la UI muestra inline “El correo ya está en uso” junto a #email y permanece en modo edición","Dado que envío un PATCH /api/users/{id} y el servidor responde HTTP 500
Cuando el cliente procesa la respuesta de error
Entonces muestra banner rojo “Error al actualizar perfil. Inténtalo más tarde.” y registra el incidente en logger.error","Dado que estoy en modo edición y he cambiado algún valor
Cuando hago clic en “Cancelar” (onClick en <button id=""cancelEdit"">)
Entonces la UI revierte los campos a los valores originales obtenidos al cargar la página y vuelve a modo lectura","Dado que el formulario está en modo lectura y veo el botón “Eliminar cuenta”
Cuando hago clic en “Eliminar cuenta” (onClick en <button id=""deleteAccount"">)
Entonces aparece un modal de confirmación con mensaje “¿Estás seguro? Esta acción es irreversible.” y botones “Confirmar” y “Cancelar”","Dado que el modal de confirmación está visible
Cuando hago clic en “Cancelar” dentro del modal
Entonces el modal se cierra y mantengo mi sesión activa en /mi-cuenta sin cambios","Dado que el modal de confirmación está visible
Cuando hago clic en “Confirmar” (DELETE /api/users/{id})
Entonces la API responde HTTP 204, el cliente invalida el JWT, redirige a / y muestra el mensaje “Cuenta eliminada correctamente”","Dado que envío DELETE /api/users/{id} y el servidor retorna HTTP 500
Cuando el cliente recibe la respuesta de error
Entonces cierra el modal, muestra banner rojo “Error al eliminar cuenta. Inténtalo más tarde.” y registra el error en logger.error",2,Do 
HU8,Seguridad y privacidad,Como usuario quiero que mis contraseñas se almacenen con bcrypt (coste ≥ 12 rondas) para garantizar la seguridad de mis credenciales.,"Dado que un usuario envía una petición POST /api/users con { password }
Cuando el servidor recibe la solicitud
Entonces antes de persistir, ejecuta bcrypt.hash(password, 12) y almacena únicamente el hash resultante en la base de datos","Dado que un usuario autenticado emite PATCH /api/users/{id}/password con { newPassword }
Cuando el backend procesa la solicitud
Entonces usa bcrypt.hash(newPassword, 12) y reemplaza el hash antiguo por el nuevo en el campo passwordHash","Dado que un usuario intenta autenticarse con POST /api/auth/login y envía { email, password }
Cuando el backend recupera el passwordHash de la base de datos
Entonces ejecuta bcrypt.compare(password, passwordHash) y solo emite JWT si el resultado es true","Dado que cualquier operación de usuario incluye un campo password
Cuando el servidor procesa la petición
Entonces no guarda nunca password en ningún campo de la base de datos, ni en logs de servidor o registros de auditoría","Dado que la función bcrypt.hash() arroja una excepción (e.g. error de memoria)
Cuando el error ocurre durante el registro o cambio de contraseña
Entonces el backend responde HTTP 500 con { error: ""HashingError"" }, no persiste datos y registra el incidente en security_incidents","Dado que se genera un hash bcrypt para una contraseña
Cuando el hash es almacenado
Entonces el sistema verifica que el prefijo del hash contiene $2b$12$, asegurando un coste de 12 rondas","Dado que el sistema actualiza la política de seguridad a un coste > 12 (por ejemplo, 14)
Cuando un usuario inicia sesión correctamente (bcrypt.compare retorna true)
Entonces el backend re-hash la contraseña con bcrypt.hash(password, newCost) y actualiza passwordHash con el nuevo coste automáticamente",,,,,1,Do 
HU9,Reportes y dashboard,"Como administrador quiero generar reportes financieros mensuales automáticos sobre ventas, ingresos y facturación para facilitar el análisis financiero.","Dado que el sistema ha alcanzado el primer día del mes a las 00:00
Cuando el cronjob generateMonthlyFinancialReport() se ejecuta
Entonces el backend compila los datos de ventas, ingresos y facturación del mes anterior y genera un archivo .pdf y .xlsx con nombre reporte_financiero_MM-YYYY","Dado que el reporte fue generado exitosamente
Cuando se completan las operaciones de escritura
Entonces el sistema guarda los archivos generados en la carpeta protegida /storage/reports/{adminId}/ y actualiza la tabla monthly_reports con { filePath, generatedAt, reportType, month, year }","Dado que el reporte mensual fue generado y guardado correctamente
Cuando el sistema completa el proceso de escritura en disco
Entonces envía un correo a admin@example.com con asunto “Reporte financiero de MM/YYYY disponible” y enlaces de descarga","Dado que he iniciado sesión como administrador y navego a la sección GET /admin/reportes
Cuando selecciono un mes y hago clic en “Descargar”
Entonces el sistema sirve el archivo PDF o Excel correspondiente con encabezados HTTP correctos (Content-Disposition: attachment) y contenido íntegro","Dado que he accedido a la sección de reportes y selecciono un mes sin datos
Cuando intento descargar el archivo
Entonces el sistema responde con HTTP 404 y un mensaje: “No hay reporte disponible para este período”","Dado que el proceso automático de generación falla (por error de base de datos, disco o timeout)
Cuando se captura el error
Entonces el sistema registra el error en report_generation_errors y reintenta la tarea hasta 2 veces con 10 minutos de espera entre intentos","Dado que el reporte no pudo generarse tras los reintentos
Cuando se inserta un registro en report_generation_errors
Entonces el sistema envía un correo a admin@example.com con asunto “Error al generar reporte financiero MM/YYYY” e incluye detalles técnicos del fallo",,,,,2,Do 
HU10,Gestión de pedidos,Como cliente quiero agregar o quitar productos de un carrito y luego generar un pedido consolidado para gestionar mis compras de forma cómoda.,"Dado que he iniciado sesión con un JWT válido y navego a GET /carrito
Cuando la UI lanza GET /api/cart
Entonces recibo HTTP 200 con un array [{ productId, name, quantity, unitPrice }] y el cliente renderiza cada ítem en la lista de carrito, mostrando name, quantity, unitPrice y totalPrice.","Dado que estoy en la página de producto /productos/456 y veo el botón “Añadir al carrito”
Cuando hago clic en “Añadir al carrito” (onClick dispara POST /api/cart con { productId:456, quantity:1 })
Entonces la API responde HTTP 200 con el carrito actualizado y el cliente incrementa el contador de ítems del carrito en el header.","Dado que el carrito contiene el ítem con productId=456
Cuando hago clic en el icono eliminar de ese ítem (onClick dispara DELETE /api/cart/456)
Entonces la API retorna HTTP 204, y el cliente elimina la fila del ítem del DOM y actualiza el total del carrito.","Dado que el carrito tiene al menos un ítem y hago clic en “Confirmar compra” en /carrito
Cuando el cliente envía POST /api/orders con payload { cartItems:[{productId,quantity}], userId }
Entonces la API devuelve HTTP 201 con { orderId }, el cliente redirige a /pedido/{orderId} y muestra “Pedido {orderId} generado con éxito”.","Dado que intento añadir al carrito un producto con productId=789 cuya stock=0
Cuando realizo POST /api/cart con { productId:789, quantity:1 }
Entonces la API retorna HTTP 409 con { error:""OutOfStock"" } y el cliente muestra inline “Producto sin stock disponible”.","Dado que el usuario clicó “Añadir” o “Eliminar” y la petición alcanza el servidor
Cuando la API responde HTTP 500
Entonces la UI muestra banner rojo “Error al actualizar el carrito. Inténtalo más tarde.” y registra logger.error.","Dado que envío POST /api/orders con datos válidos del carrito
Cuando la API retorna HTTP 500
Entonces la UI muestra “Error al generar el pedido. Inténtalo de nuevo.” y mantiene visible el botón “Confirmar compra”.","Dado que ejecuto cualquiera de las acciones anteriores (GET/POST/DELETE) y excede el timeout configurado (>10 s) o falla la conexión
Cuando el cliente captura la excepción de red
Entonces muestra “No se pudo conectar. Verifica tu red e inténtalo de nuevo.” y re-habilita el botón correspondiente para reintentar.",,,,1,Do 
